Pair,Delta (mHz)
4.167175-3.284454,0.882721
4.238892-3.284454,0.954437
4.300690-3.284454,1.016235
4.376221-3.284454,1.091766
4.444122-3.284454,1.159668
4.513550-3.284454,1.229095
4.580688-3.284454,1.296234
4.646301-3.284454,1.361847
4.722595-3.284454,1.438141
4.785156-3.284454,1.500702
4.851532-3.284454,1.567078
4.921722-3.284454,1.637268
4.993439-3.284454,1.708984
5.064392-3.284454,1.779938
3.418732-3.345489,0.073242
3.482056-3.345489,0.136566
3.553772-3.345489,0.208282
3.618622-3.345489,0.273132
3.688812-3.345489,0.343323
3.755188-3.345489,0.409698
3.825378-3.345489,0.479889
3.892517-3.345489,0.547028
3.963470-3.345489,0.617981
4.029083-3.345489,0.683594
4.100800-3.345489,0.755310
4.167175-3.345489,0.821686
4.238892-3.345489,0.893402
4.300690-3.345489,0.955200
4.376221-3.345489,1.030731
4.444122-3.345489,1.098633
4.513550-3.345489,1.168060
4.580688-3.345489,1.235199
4.646301-3.345489,1.300812
4.722595-3.345489,1.377106
4.785156-3.345489,1.439667
4.851532-3.345489,1.506042
4.921722-3.345489,1.576233
4.993439-3.345489,1.647949
5.064392-3.345489,1.718903
3.482056-3.418732,0.063324
3.553772-3.418732,0.135040
3.618622-3.418732,0.199890
3.688812-3.418732,0.270081
3.755188-3.418732,0.336456
3.825378-3.418732,0.406647
3.892517-3.418732,0.473785
3.963470-3.418732,0.544739
4.029083-3.418732,0.610352
4.100800-3.418732,0.682068
4.167175-3.418732,0.748444
4.238892-3.418732,0.820160
4.300690-3.418732,0.881958
4.376221-3.418732,0.957489
4.444122-3.418732,1.025391
4.513550-3.418732,1.094818
4.580688-3.418732,1.161957
4.646301-3.418732,1.227570
4.722595-3.418732,1.303864
4.785156-3.418732,1.366425
4.851532-3.418732,1.432800
4.921722-3.418732,1.502991
4.993439-3.418732,1.574707
5.064392-3.418732,1.645660
3.553772-3.482056,0.071716
3.618622-3.482056,0.136566
3.688812-3.482056,0.206757
3.755188-3.482056,0.273132
3.825378-3.482056,0.343323
3.892517-3.482056,0.410461
3.963470-3.482056,0.481415
4.029083-3.482056,0.547028
4.100800-3.482056,0.618744
4.167175-3.482056,0.685120
4.238892-3.482056,0.756836
4.300690-3.482056,0.818634
4.376221-3.482056,0.894165
4.444122-3.482056,0.962067
4.513550-3.482056,1.031494
4.580688-3.482056,1.098633
4.646301-3.482056,1.164246
4.722595-3.482056,1.240540
4.785156-3.482056,1.303101
4.851532-3.482056,1.369476
4.921722-3.482056,1.439667
4.993439-3.482056,1.511383
5.064392-3.482056,1.582336
3.618622-3.553772,0.064850
3.688812-3.553772,0.135040
3.755188-3.553772,0.201416
3.825378-3.553772,0.271606
3.892517-3.553772,0.338745
3.963470-3.553772,0.409698
4.029083-3.553772,0.475311
4.100800-3.553772,0.547028
4.167175-3.553772,0.613403
4.238892-3.553772,0.685120
4.300690-3.553772,0.746918
4.376221-3.553772,0.822449
4.444122-3.553772,0.890350
4.513550-3.553772,0.959778
4.580688-3.553772,1.026917
4.646301-3.553772,1.092529
4.722595-3.553772,1.168823
4.785156-3.553772,1.231384
4.851532-3.553772,1.297760
4.921722-3.553772,1.367950
4.993439-3.553772,1.439667
5.064392-3.553772,1.510620
3.688812-3.618622,0.070190
3.755188-3.618622,0.136566
3.825378-3.618622,0.206757
3.892517-3.618622,0.273895
3.963470-3.618622,0.344849
4.029083-3.618622,0.410461
4.100800-3.618622,0.482178
4.167175-3.618622,0.548553
4.238892-3.618622,0.620270
4.300690-3.618622,0.682068
4.376221-3.618622,0.757599
4.444122-3.618622,0.825500
4.513550-3.618622,0.894928
4.580688-3.618622,0.962067
4.646301-3.618622,1.027679
